City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
qaanaaq,77.48,-69.36,41.81,65,4,2.04,GL,1595751081
butaritari,3.07,172.79,83.34,73,0,18.59,KI,1595751083
ushuaia,-54.8,-68.3,28.4,92,75,9.17,AR,1595751085
yar-sale,66.83,70.83,60.48,64,100,12.3,RU,1595751087
acajutla,13.59,-89.83,71.01,99,100,4.7,SV,1595751089
dunedin,-45.87,170.5,46.99,73,0,4.27,NZ,1595751091
shimoda,34.67,138.95,80.6,88,75,16.11,JP,1595751094
chokurdakh,70.63,147.92,88.5,24,78,8.99,RU,1595751096
nome,64.5,-165.41,51.8,71,90,6.93,US,1595751025
saskylakh,71.92,114.08,35.29,95,100,20.85,RU,1595751100
ixtapa,20.7,-105.2,75.99,99,100,0.76,MX,1595751102
islampur,26.27,88.2,95.52,51,62,7.43,IN,1595751104
miri,4.41,114.01,87.8,66,40,5.82,MY,1595751027
khani,41.96,42.96,82.4,74,40,12.75,GE,1595751108
prince rupert,54.32,-130.32,57.2,93,90,9.17,CA,1595751110
bluff,-46.6,168.33,50.29,80,77,15.68,NZ,1595751113
bredasdorp,-34.53,20.04,55.4,93,80,4.7,ZA,1595751115
albany,42.6,-73.97,69.01,66,96,3.98,US,1595751117
dikson,73.51,80.55,39.58,87,100,15.79,RU,1595751119
mataura,-46.19,168.86,40.8,93,8,2.01,NZ,1595751122
hilo,19.73,-155.09,80.6,69,90,13.87,US,1595751124
atuona,-9.8,-139.03,79.99,72,1,21.81,PF,1595751126
jamestown,42.1,-79.24,63.0,100,1,3.96,US,1595750896
arraial do cabo,-22.97,-42.03,70.09,88,0,17.27,BR,1595751130
zhigansk,66.77,123.37,59.52,68,95,22.35,RU,1595751132
victoria,22.29,114.16,95.0,53,20,10.29,HK,1595751019
port hardy,50.7,-127.42,55.74,81,0,5.1,CA,1595751136
nalut,30.33,10.85,87.42,21,0,11.25,LY,1595751139
cidreira,-30.18,-50.21,47.73,76,82,7.87,BR,1595751141
carnarvon,-24.87,113.63,73.4,49,0,12.75,AU,1595751143
castro,-24.79,-50.01,54.18,93,99,8.68,BR,1595751145
mar del plata,-38.0,-57.56,51.01,70,100,18.34,AR,1595751147
erdenet,49.03,104.08,72.66,55,22,2.84,MN,1595751149
urucui,-7.23,-44.56,70.83,61,7,9.19,BR,1595751152
matara,5.95,80.54,82.74,74,100,13.24,LK,1595751154
tuatapere,-46.13,167.68,44.02,83,9,3.6,NZ,1595751156
rikitea,-23.12,-134.97,71.02,80,8,22.35,PF,1595751158
vilyuysk,63.76,121.62,64.65,71,82,10.0,RU,1595751160
punta arenas,-53.15,-70.92,32.0,84,100,19.46,CL,1595751162
upernavik,72.79,-56.15,44.28,91,100,17.92,GL,1595751165
narsaq,60.92,-46.05,42.8,93,100,3.36,GL,1595751167
soria,41.67,-2.67,71.01,56,0,3.0,ES,1595751169
touros,-5.2,-35.46,69.8,94,40,6.93,BR,1595751171
ancud,-41.87,-73.82,44.01,93,90,4.7,CL,1595751173
pangoa,-12.12,-73.0,62.13,91,42,2.21,PE,1595751175
port elizabeth,-33.92,25.57,64.4,63,20,29.97,ZA,1595751177
arman,59.7,150.17,58.62,76,82,5.55,RU,1595751179
yellowknife,62.46,-114.35,59.0,67,20,5.82,CA,1595751182
kapaa,22.08,-159.32,78.8,83,90,20.8,US,1595751184
korla,41.76,86.15,95.41,17,35,2.04,CN,1595751186
maniitsoq,65.42,-52.9,46.56,88,100,6.87,GL,1595751188
brainerd,46.36,-94.2,75.2,88,1,2.95,US,1595751150
new norfolk,-42.78,147.06,48.0,82,100,1.07,AU,1595751192
alofi,-19.06,-169.92,71.6,88,49,10.29,NU,1595751194
havre-saint-pierre,50.23,-63.6,53.6,100,90,3.36,CA,1595751197
logan,41.74,-111.83,66.99,52,1,5.86,US,1595751121
tiarei,-17.53,-149.33,75.2,78,20,4.7,PF,1595751201
shitanjing,39.23,106.34,86.58,20,0,26.55,CN,1595751203
te anau,-45.42,167.72,39.99,86,4,1.63,NZ,1595751205
puerto ayora,-0.74,-90.35,68.0,91,94,4.0,EC,1595751208
ketchikan,55.34,-131.65,57.2,100,90,12.75,US,1595751101
nikolskoye,59.7,30.79,66.99,63,75,6.71,RU,1595751212
kaitong,44.81,123.15,96.94,23,0,11.3,CN,1595751214
namibe,-15.2,12.15,64.4,93,1,3.0,AO,1595751216
san cristobal,7.77,-72.22,63.39,89,100,3.51,VE,1595751218
kirakira,-10.45,161.92,80.15,82,100,13.33,SB,1595751221
barrow,71.29,-156.79,44.6,81,90,10.29,US,1595751223
katsuura,35.13,140.3,84.0,79,3,1.01,JP,1595750946
cape town,-33.93,18.42,62.01,77,75,14.99,ZA,1595751158
hobart,-42.88,147.33,48.2,81,75,2.59,AU,1595751218
leh,34.17,77.58,72.39,23,37,5.86,IN,1595751231
batalha,-9.68,-37.12,62.01,91,0,1.99,BR,1595751234
jawar,23.0,76.5,88.07,60,71,6.13,IN,1595751236
bambous virieux,-20.34,57.76,68.0,88,75,13.87,MU,1595751238
bilibino,68.05,166.44,79.99,37,0,9.1,RU,1595751240
sao luiz gonzaga,-28.41,-54.96,39.9,82,40,5.5,BR,1595751243
niteroi,-22.88,-43.1,71.6,78,0,9.17,BR,1595751245
brownsburg,39.84,-86.4,69.8,88,1,3.09,US,1595751181
vila franca do campo,37.72,-25.43,68.0,88,40,3.36,PT,1595751249
port alfred,-33.59,26.89,65.01,68,24,26.31,ZA,1595751251
conakry,9.54,-13.68,74.71,96,100,11.14,GN,1595751125
tevaitoa,-16.78,-151.5,78.13,82,1,17.43,PF,1595751256
esperance,-33.87,121.9,60.8,63,40,8.05,AU,1595751258
cherskiy,68.75,161.3,83.75,32,0,8.16,RU,1595751260
avera,33.19,-82.53,71.6,89,1,1.57,US,1595750978
ahipara,-35.17,173.17,50.25,79,8,5.97,NZ,1595751264
gamba,-2.65,10.0,76.44,70,65,4.97,GA,1595751267
antalaha,-14.9,50.28,71.62,82,99,14.67,MG,1595751269
vaini,-21.2,-175.2,69.8,77,20,8.05,TO,1595751271
sangar,63.92,127.47,71.15,50,71,5.86,RU,1595751273
busselton,-33.65,115.33,66.0,56,0,5.23,AU,1595751275
imphal,24.82,93.95,80.6,65,75,9.17,IN,1595751277
monywa,22.12,95.13,94.19,53,99,2.19,MM,1595751279
trinidad,-14.83,-64.9,59.32,40,100,4.43,BO,1595751282
tuktoyaktuk,69.45,-133.04,43.68,93,100,4.52,CA,1595751284
saint george,37.1,-113.58,81.0,19,1,4.7,US,1595751286
port lincoln,-34.73,135.87,56.28,78,100,7.67,AU,1595751289
kavieng,-2.57,150.8,83.98,77,100,12.93,PG,1595751291
mana,5.66,-53.78,75.74,88,6,7.05,GF,1595751293
east london,-33.02,27.91,66.2,59,0,20.8,ZA,1595751295
nanortalik,60.14,-45.24,42.94,88,95,2.19,GL,1595751297
chuy,-33.7,-53.46,39.29,87,0,5.57,UY,1595751299
wucheng,29.6,118.17,84.99,99,95,4.32,CN,1595751302
chapais,49.78,-74.85,68.0,94,90,6.93,CA,1595751305
provideniya,64.38,-173.3,58.59,64,72,5.93,RU,1595751307
biak,-0.91,122.88,77.18,81,95,9.04,ID,1595751309
marsh harbour,26.54,-77.06,81.73,77,64,12.55,BS,1595751312
atherton,53.52,-2.49,64.0,87,82,5.99,GB,1595751314
saint-philippe,-21.36,55.77,73.4,60,82,31.09,RE,1595751316
lima,-12.04,-77.03,59.0,87,90,4.7,PE,1595751266
mumford,5.26,-0.76,75.54,83,100,9.71,GH,1595751320
channel-port aux basques,47.57,-59.14,61.84,89,82,8.52,CA,1595751322
georgetown,5.41,100.34,89.6,62,20,8.05,MY,1595751324
sabang,5.89,95.32,82.63,79,29,20.13,ID,1595751327
bonavista,48.65,-53.11,58.08,93,57,15.43,CA,1595751329
catamarca,-28.47,-65.79,50.0,41,60,1.99,AR,1595751331
neuquen,-38.95,-68.06,42.8,70,91,13.87,AR,1595751248
lucapa,-8.42,20.74,76.8,22,1,9.15,AO,1595751335
hermanus,-34.42,19.23,57.0,80,83,1.01,ZA,1595751338
bethel,41.37,-73.41,73.0,94,1,4.25,US,1595751340
ilulissat,69.22,-51.1,44.6,93,100,9.17,GL,1595751342
marsa matruh,31.35,27.25,78.8,78,20,8.05,EG,1595751344
morant bay,17.88,-76.41,84.2,70,20,11.41,JM,1595751346
nuuk,64.18,-51.72,46.4,93,77,11.41,GL,1595751348
waipawa,-41.41,175.52,46.99,81,0,6.93,NZ,1595751350
ouargaye,11.5,0.06,76.84,83,84,14.88,BF,1595751352
ponta do sol,32.67,-17.1,70.0,70,0,2.35,PT,1595751355
kulim,5.37,100.56,89.6,62,20,8.05,MY,1595751357
nazareno,25.38,-103.42,77.0,63,100,3.65,MX,1595751359
tasiilaq,65.61,-37.64,44.6,81,67,5.82,GL,1595751361
sulam,32.61,35.33,87.01,62,0,10.29,IL,1595751363
richards bay,-28.78,32.04,68.14,31,0,5.35,ZA,1595751365
lata,40.16,-8.33,71.01,74,1,3.78,PT,1595751368
airai,-8.93,125.41,66.76,73,37,4.52,TL,1595751370
haines junction,60.75,-137.51,47.39,83,100,3.8,CA,1595751372
kodiak,57.79,-152.41,51.8,87,90,3.36,US,1595751374
aklavik,68.22,-135.01,53.6,87,75,8.05,CA,1595751376
khatanga,71.97,102.5,43.97,77,100,12.21,RU,1595751378
carutapera,-1.2,-46.02,74.66,91,21,3.62,BR,1595751380
candido mota,-22.75,-50.39,59.76,76,68,7.18,BR,1595751382
kita,13.03,-9.49,74.23,91,49,3.96,ML,1595751385
norman wells,65.28,-126.83,59.0,77,75,2.24,CA,1595751387
kosh-agach,50.0,88.67,68.59,35,78,8.7,RU,1595751389
nantucket,41.28,-70.1,73.4,94,90,13.87,US,1595751259
yurginskoye,56.82,67.39,68.07,45,89,5.97,RU,1595751393
maragogi,-9.01,-35.22,73.26,83,1,12.68,BR,1595751395
cabo san lucas,22.89,-109.91,80.01,78,6,12.03,MX,1595751398
pisco,-13.7,-76.22,61.0,82,90,4.7,PE,1595751400
salmo,49.2,-117.27,50.0,66,0,1.01,CA,1595751402
corner brook,48.97,-57.95,62.6,93,75,4.7,CA,1595751404
dinghai,26.28,119.79,87.8,70,72,11.18,CN,1595751406
kenora,49.82,-94.43,69.8,88,75,5.82,CA,1595751408
shihezi,44.3,86.03,96.67,18,0,7.02,CN,1595751410
ispas,48.3,25.27,70.77,77,78,3.31,UA,1595751129
monforte de lemos,42.52,-7.51,66.99,74,1,1.66,ES,1595751414
abu dhabi,24.47,54.37,105.8,31,53,6.93,AE,1595751235
gravdal,68.12,13.5,54.97,84,60,5.01,NO,1595751419
chiredzi,-21.05,31.67,70.5,43,0,1.63,ZW,1595751421
klaksvik,62.23,-6.59,51.8,81,40,17.22,FO,1595751423
crotone,39.09,17.12,77.0,65,0,12.75,IT,1595751425
fortuna,40.6,-124.16,52.0,100,1,1.59,US,1595751427
plettenberg bay,-34.05,23.37,59.27,76,94,16.08,ZA,1595751429
abu zabad,12.35,29.25,77.86,71,100,15.9,SD,1595751432
nanton,50.35,-113.77,53.01,89,0,1.01,CA,1595751434
hwange,-18.37,26.5,66.0,42,0,7.05,ZW,1595751436
caibarien,22.52,-79.47,73.4,100,5,4.7,CU,1595751438
gumdag,39.21,54.59,100.17,25,11,4.07,TM,1595751440
pacific grove,36.62,-121.92,59.0,92,27,1.01,US,1595751442
arenzano,44.41,8.68,80.01,73,40,4.7,IT,1595751445
kedrovyy,56.17,91.82,66.2,82,75,8.95,RU,1595751447
wapi pathum,15.85,103.38,93.2,52,40,6.93,TH,1595751449
mandera,3.94,41.87,80.74,54,100,20.15,KE,1595751451
kaitangata,-46.28,169.85,48.0,68,0,1.99,NZ,1595751453
acapulco,16.86,-99.89,77.94,82,100,6.22,MX,1595751455
kungurtug,50.6,97.52,74.14,34,58,9.57,RU,1595751457
grand gaube,-20.01,57.66,68.0,83,85,11.01,MU,1595751459
ruteng,-8.61,120.47,68.77,78,73,1.7,ID,1595751462
salalah,17.02,54.09,80.6,88,90,10.29,OM,1595751464
verkhoyansk,67.54,133.38,76.46,31,4,25.55,RU,1595751466
terrace,54.52,-128.6,56.48,85,100,2.19,CA,1595751468
praia da vitoria,38.73,-27.07,69.8,83,20,9.66,PT,1595751470
lorengau,-2.02,147.27,83.14,77,93,9.91,PG,1595751472
tubmanburg,6.87,-10.82,73.15,92,100,2.75,LR,1595751474
port augusta,-32.5,137.77,55.0,93,64,5.82,AU,1595751476
